Before Training
150.0, 70.0, 70.0, 150.0, 150.0, 140.0, 70.0, 60.0, 150.0, 70.0, 70.0, 140.0, 70.0, 140.0, 150.0, 150.0, 70.0, 140.0, 150.0, 70.0,  Average: 111.5, 
After Training

60.0, 140.0, 70.0, 265.0, 150.0, 70.0, 385.0, 150.0, 70.0, 265.0, 235.0, 265.0, 70.0, 160.0, 70.0, 140.0, 150.0, 140.0, 150.0, 120.0,  Average: 156.25, 
70.0, 140.0, 265.0, 140.0, 70.0, 265.0, 70.0, 60.0, 265.0, 150.0, 640.0, 175.0, 70.0, 140.0, 385.0, 140.0, 150.0, 60.0, 150.0, 265.0,  Average: 183.5, 
70.0, 385.0, 140.0, 70.0, 250.0, 140.0, 150.0, 340.0, 140.0, 265.0, 150.0, 140.0, 385.0, 150.0, 150.0, 265.0, 265.0, 70.0, 70.0, 70.0,  Average: 183.25, 
150.0, 150.0, 150.0, 385.0, 140.0, 150.0, 70.0, 70.0, 150.0, 150.0, 70.0, 150.0, 70.0, 60.0, 70.0, 70.0, 70.0, 150.0, 70.0, 70.0,  Average: 120.75, 
60.0, 150.0, 140.0, 70.0, 60.0, 140.0, 100.0, 140.0, 60.0, 220.0, 150.0, 150.0, 140.0, 70.0, 150.0, 150.0, 265.0, 140.0, 150.0, 150.0,  Average: 132.75, 
60.0, 940.0, 70.0, 150.0, 265.0, 150.0, 265.0, 70.0, 140.0, 70.0, 70.0, 150.0, 140.0, 150.0, 150.0, 60.0, 70.0, 150.0, 70.0, 120.0,  Average: 165.5, 
540.0, 150.0, 150.0, 150.0, 70.0, 60.0, 60.0, 150.0, 150.0, 70.0, 150.0, 370.0, 70.0, 70.0, 60.0, 70.0, 70.0, 70.0, 140.0, 70.0,  Average: 134.5, 
150.0, 150.0, 150.0, 340.0, 175.0, 140.0, 70.0, 70.0, 70.0, 70.0, 60.0, 265.0, 150.0, 70.0, 70.0, 70.0, 140.0, 150.0, 110.0, 90.0,  Average: 128.0, 
